species;predictors;Trait_names;IUCN_names;origin;origin3;ncells_summer;ncells_winter;D;ses.z.D;lon_summer;lat_summer;lat_winter;Mig_LatDistance;rangesize_winter;rangesize_summer;nicheBreadth;BodyMass;VertFishScav;Invertebrate;Omnivore;PlantSeed;FruiNect;Flight
Anas_crecca_22729717;clim.ndvi;Anas_crecca;Anas_crecca;Nearctic;Nearctic;5670;2383;0.277180723;2.13799043;-110.2341305;56.45948634;32.83224927;23.62723708;6103402.227;9577307.022;6.107183767;341.89;0;0;0;1;0;active
Anas_platyrhynchos_22680186;clim.land;Anas_platyrhynchos;Anas_platyrhynchos;Nearctic;Nearctic;4703;1253;0.302817467;11.08532728;-116.5477628;58.86850703;32.24960096;26.61890608;3254747.594;7374563.869;6.861526294;843.42;0;0;1;0;0;active
Anas_platyrhynchos_22680186;clim.ndvi;Anas_platyrhynchos;Anas_platyrhynchos;Nearctic;Nearctic;4703;1253;0.216838517;3.245178015;-116.5477628;58.86850703;32.24960096;26.61890608;3254747.594;7374563.869;5.555405699;843.42;0;0;1;0;0;active
Anas_rubripes_22680174;clim.land;Anas_rubripes;Anas_rubripes;Nearctic;Nearctic;1754;983;0.160447149;8.034297973;-79.61744584;51.91790194;35.87207528;16.04582666;2447435.094;3329008.477;6.4222627;1240.96;0;0;0;1;0;active
Anas_rubripes_22680174;clim.ndvi;Anas_rubripes;Anas_rubripes;Nearctic;Nearctic;1754;983;0.382230262;5.857133763;-79.61744584;51.91790194;35.87207528;16.04582666;2447435.094;3329008.477;4.874066067;1240.96;0;0;0;1;0;active
Anas_zonorhyncha_22736042;clim.land;Anas_poecilorhyncha;Anas_zonorhyncha;Palearctic;EPale;2964;231;0.226964547;2.615203565;114.8183198;44.16902834;26.17424242;17.99478592;637732.4463;6491616.007;5.658482332;999.96;0;0;0;1;0;active
Anas_zonorhyncha_22736042;clim.ndvi;Anas_poecilorhyncha;Anas_zonorhyncha;Palearctic;EPale;2964;231;0.111527055;0.963982356;114.8183198;44.16902834;26.17424242;17.99478592;637732.4463;6491616.007;4.483389972;999.96;0;0;0;1;0;active
Anser_albifrons_22679881;clim.land;Anser_albifrons;Anser_albifrons;Nearctic;Nearctic;2089;599;0.17531676;6.060498546;-130.4759325;66.21421371;29.90275459;36.31145912;1584754.544;2593982.027;6.522189068;2506.39;0;0;0;1;0;active
Anser_albifrons_22679881;clim.ndvi;Anser_albifrons;Anser_albifrons;Nearctic;Nearctic;2089;599;0.059597363;0.302089187;-130.4759325;66.21421371;29.90275459;36.31145912;1584754.544;2593982.027;5.500374976;2506.39;0;0;0;1;0;active
Anser_caerulescens_22679896;clim.land;Chen_caerulescens;Anser_caerulescens;Nearctic;Nearctic;624;705;0.046537011;9.520024213;-91.72916667;72.55689103;35.12446809;37.43242294;1768690.273;571747.3096;7.126127724;2636.15;0;0;0;1;0;active
Anser_caerulescens_22679896;clim.ndvi;Chen_caerulescens;Anser_caerulescens;Nearctic;Nearctic;624;705;0.14680818;3.301217198;-91.72916667;72.55689103;35.12446809;37.43242294;1768690.273;571747.3096;5.460807298;2636.15;0;0;0;1;0;active
Anser_cygnoid_22679869;clim.land;Anser_cygnoides;Anser_cygnoid;Palearctic;EPale;1078;352;0.317367282;2.779548711;112.5320037;49.81818182;31.36363636;18.45454545;924861.226;2142802.34;5.622541747;3511.94;0;0;0;1;0;active
Anser_cygnoid_22679869;clim.ndvi;Anser_cygnoides;Anser_cygnoid;Palearctic;EPale;1078;352;0.202676651;3.526695312;112.5320037;49.81818182;31.36363636;18.45454545;924861.226;2142802.34;4.025377845;3511.94;0;0;0;1;0;active
